ALLTEL CORP.,65873
ALZA CORP. CL. A,
AMP INC.,94567
AMR CORP.,6201
ASARCO INC.,
AT&T CORP.,
ABBOTT LABS,
ADVANCED MICRO DEVICES,2488
AEROQUIP-VICKERS INC.,
AETNA INC. (OLD),
AHMANSON (H.F.) & CO.,
AIR PRODUCTS & CHEMICALS,2969
AIRTOUCH COMMUNICATIONS,
ALBERTO-CULVER,
ALBERTSON'S,
ALCAN INC.,4285
ALCOA INC,4281
ALEXANDER & ALEXANDER,
ALLERGAN,
AMDAHL CORP.,
AMERADA HESS,
AMERICAN ELECTRIC POWER,4904
AMERICAN EXPRESS,949348
AMERICAN GENERAL,5103
AMERICAN GREETINGS CL A,
AMERICAN HOME PRODUCTS,
AMERICAN INT'L. GROUP,
AMERICAN STORES,
AMERITECH,
AMGEN,
AMOCO,313807
ANDREW CORP.,317093
ANHEUSER-BUSCH,
APPLE COMPUTER,320193
ARCHER-DANIELS-MIDLAND,
ARMCO INC.,797923
ARMSTRONG HOLDINGS INC.,
ASHLAND INC.,7694
ATLANTIC RICHFIELD,
AUTODESK,
AUTOMATIC DATA PROCESSING INC.,8670
AVERY DENNISON CORP.,8818
AVON PRODUCTS,8868
BAKER HUGHES,808362
BALL CORP.,9389
BALLY ENTERTAINMENT CORP,
BALTIMORE GAS & ELECTRIC,9466
BANK ONE CORP.,1067092
BANK OF AMERICA CORP.,70858
BANKBOSTON CORP.,
BANKERS TRUST N.Y.,
BARD (C.R.) INC.,
BARNETT BANKS INC.,
BARRICK GOLD CORP.,756894
BASSETT FURNITURE(OLD),
BAUSCH & LOMB,10427
BAXTER INTERNATIONAL INC.,10456
BECTON,
BELLSOUTH,
BEMIS COMPANY,
BENEFICIAL CORP.,
BETHLEHEM STEEL,741350
BEVERLY ENTERPRISES,1040441
BIOMET,
BLACK & DECKER CORP.,12355
BLOCK H&R,
BOATMEN'S BANCSHARES,
BOEING COMPANY,
BOISE CASCADE,1328581
BRIGGS & STRATTON,14195
BRISTOL-MYERS SQUIBB,
BROWN GROUP,
BROWN-FORMAN CORP.,
BROWNING-FERRIS IND.,
BRUNO'S INC.,
BRUNSWICK CORP.,14930
BURLINGTON NORTHERN SANTA FE C,934612
BURLINGTON RESOURCES,
CBS INC.,4977
CIGNA CORP.,701221
CINERGY CORP.,
COMPAQ COMPUTER,714154
CPC INTERNATIONAL,11860
CSX CORP.,277948
CVS CORP.,
CALIBER SYSTEMS INC.,
CAMPBELL SOUP,16732
CAPITAL CITIES/ABC,
CATERPILLAR INC.,18230
CENTEX CORP.,18532
CENTRAL & SOUTH WEST,
CERIDIAN CORP. (OLD),
CHAMPION INTERNATIONAL,
CHARMING SHOPPES,
CHASE MANHATTAN (OLD),
CHEMICAL BANKING CORP.,
CHEVRON CORP.,93410
CHRYSLER CORP.,791269
CHUBB CORP.,20171
CIRCUIT CITY GROUP,
CISCO SYSTEMS,858877
CITICORP,811785
CLARK EQUIPMENT,
CLOROX CO.,21076
COASTAL CORP.,21267
COCA COLA CO.,21344
COLGATE-PALMOLIVE,
COLUMBIA GAS SYSTEM,22099
COMCAST CLASS A SPECIAL,
COMMUNITY PSYCHIATRIC CTRS,
COMPUTER ASSOCIATES INTL.,
COMPUTER SCIENCES CORP.,23082
CONAGRA FOODS,
CONRAIL INC.,897732
CONSOLIDATED EDISON,1047862
CONSOLIDATED FREIGHTWAYS (SMALL),
CONSOLIDATED NATURAL GAS,23738
CONTINENTAL CORP.,1084717
COOPER INDUSTRIES,1141982
COOPER TIRE & RUBBER,24491
COORS (ADOLPH OLD),
CORESTATES FINANCIAL,69952
CORNING INC.,24741
COSTCO CO.,
CRANE COMPANY,
CRAY RESEARCH INC.,
CROWN CORK & SEAL,1233813
CUMMINS INC.,26172
CYPRUS AMAX MINERALS CO.,
DSC COMMUNICATIONS,
DTE ENERGY CO.,936340
DANA CORP.,
DATA GENERAL,26999
DEERE & CO.,315189
DELTA AIR LINES,27904
DELUXE CORP.,27996
DIAL CORP.,1016179
DIGITAL EQUIPMENT,
DILLARD INC.,
DOMINION RESOURCES,715957
DONNELLEY (R.R.) & SONS,
DOVER CORP.,29905
DOW CHEMICAL,29915
DOW JONES & CO.,29924
DRESSER INDUSTRIES,29915
DU PONT (E.I.),
DUKE ENERGY,1086673
DUN & BRADSTREET (OLD),
E-SYSTEMS INC.,
ENSERCH CORP.,931006
EASTERN ENTERPRISES,311259
EASTMAN CHEMICAL,915389
EASTMAN KODAK,31235
EATON CORP.,31277
ECHLIN INC.,
ECHO BAY MINES LTD.,
ECOLAB INC.,31462
EDISON INT'L,
EMERSON ELECTRIC,32604
ENGELHARD CORP.,352947
ENRON CORP.,1024401
ENTERGY CORP.,65984
EXELON CORP.,1109357
EXXON MOBIL CORP.,34088
FMC CORP.,37785
FPL GROUP,753308
FANNIE MAE,310522
FEDERAL EXPRESS,230211
FEDERAL HOME LOAN MTG.,
FEDERAL PAPER BOARD,
FIRST CHICAGO NBD CORP.,
FIRST DATA,883980
FIRST FIDELITY BANCORP,823549
FIRST INTERSTATE,860413
FIRST MISSISSIPPI,36537
FIRST UNION CORP.,
FLEET BOSTON FINANCIAL GROUP,
FLEETWOOD ENTERPRISES,314132
FLEMING COMPANIES(OLD),
FORD MOTOR,38009
FORTUNE BRANDS,
FOSTER WHEELER (OLD2),
GTE CORP.,
GANNETT CO.,39899
GAP (THE),
GENERAL DYNAMICS,40533
GENERAL ELECTRIC,40554
GENERAL MILLS,40704
GENERAL MOTORS,40729
GENERAL RE CORP.,38475
GENERAL SIGNAL,
GENUINE PARTS,40987
